Event_Name,Frequency,Percentage
gtm.dom,2833,18.15%
gtm.load,2632,16.87%
gtm.js,2106,13.5%
gtm.click,1051,6.74%
gtm.scrollDepth,622,3.99%
OneTrustLoaded,274,1.76%
OptanonLoaded,274,1.76%
OneTrustGroupsUpdated,272,1.74%
view_item_list,249,1.6%
gtm.historyChange-v2,197,1.26%
gtm.triggerGroup,190,1.22%
gtm.timer,171,1.1%
view_promotion,116,0.74%
pageView,108,0.69%
homeView,106,0.68%
cookie_consent_update,106,0.68%
gtm.linkClick,105,0.67%
gtm.elementVisibility,96,0.62%
gtm.historyChange,89,0.57%
productImpression,78,0.5%
dl_user_data,77,0.49%
consent_status,73,0.47%
cookie_consent_preferences,73,0.47%
cookie_consent_statistics,73,0.47%
cookie_consent_marketing,73,0.47%
page_view,66,0.42%
promoView,49,0.31%
pageview,47,0.3%
view_item,44,0.28%
trackOptanonEvent,40,0.26%
Pandectes_Consent_Update,40,0.26%
gtm.pageError,35,0.22%
datalayer_ready,34,0.22%
fireRemarketingTag,31,0.2%
default_consent,28,0.18%
nextroll-ready,26,0.17%
none,26,0.17%
didomi-consent,25,0.16%
didomi-ready,25,0.16%
productImpressions,21,0.13%
cmpEvent,20,0.13%
cmpEventLoadedLayerOpen,20,0.13%
cmpEventLoadFinished,20,0.13%
productDetail,20,0.13%
sh_info,20,0.13%
didomi-cookies-consent,19,0.12%
select_item,19,0.12%
productClick,19,0.12%
axeptio_update,19,0.12%
productView,17,0.11%
cf_consent_necessary,16,0.1%
cf_consent_advertising,16,0.1%
cf_consent_performance,16,0.1%
cf_consent_functional,16,0.1%
cf_after_consent_update,16,0.1%
cf_init,16,0.1%
cf_layer_ready,16,0.1%
didomi-consent-changed,15,0.1%
home,15,0.1%
impression,14,0.09%
promotionView,14,0.09%
cookie_cat_necessary,14,0.09%
cookie_cat_functional,14,0.09%
cookie_cat_statistic,14,0.09%
cookie_cat_marketing,14,0.09%
cookie_cat_unclassified,14,0.09%
gtm.video,13,0.08%
crto_homepage,13,0.08%
departmentView,12,0.08%
view_home,12,0.08%
performance_timing,11,0.07%
gtm4wp.reading.articleLoaded,11,0.07%
gtm4wp.reading.startReading,11,0.07%
pandectes-rules.min.js,11,0.07%
bvsc.reel.impression,11,0.07%
performance,11,0.07%
cmplz_event_functional,10,0.06%
wSetup,10,0.06%
INSIDER,10,0.06%
impressions,10,0.06%
CookieScriptCategory-targeting,10,0.06%
CookieScriptCategory-functionality,10,0.06%
CookieScriptCategory-strict,10,0.06%
mpCustomerSession,10,0.06%
afterLoad,10,0.06%
logState,10,0.06%
siteDetails,9,0.06%
cloud-header-branch-io-ready,9,0.06%
bloomreach,9,0.06%
promotionClick,9,0.06%
page_view_stape,9,0.06%
CookieScriptCategory-unclassified,9,0.06%
CookieScriptCategory-performance,9,0.06%
dl_intelligems_script_loaded,9,0.06%
UserConsentChangeNotification.PerformanceEnabled,8,0.05%
UserConsentChangeNotification.TargetingEnabled,8,0.05%
UserConsentChangeNotification.OnSiteTargetingEnabled,8,0.05%
ee-productImpression,8,0.05%
init_consent,8,0.05%
Begin DataLayer,8,0.05%
DataLayer Loaded,8,0.05%
iubenda_consent_given_purpose_1,8,0.05%
iubenda_consent_given_purpose_3,8,0.05%
iubenda_consent_given_purpose_4,8,0.05%
iubenda_consent_given_purpose_5,8,0.05%
__sm__view_homepage,8,0.05%
userData,8,0.05%
user_data,8,0.05%
ga4Event,8,0.05%
reset_common_model,8,0.05%
view_product_list,8,0.05%
cmplz_event_statistics,7,0.04%
cmplz_event_marketing,7,0.04%
cmplz_event_preferences,7,0.04%
user variables,7,0.04%
searchResults,7,0.04%
GTM.SDK.Impression.Tracking,7,0.04%
select_promotion,7,0.04%
gtm.datalayer,7,0.04%
consentUpdate,7,0.04%
axeptio_update_consent,7,0.04%
homepage,7,0.04%
UserConsentChangeNotification.FunctionalEnabled,6,0.04%
ketchGeoip,6,0.04%
ketchJurisdiction,6,0.04%
gtm.user,6,0.04%
trigger-load-thirdparty,6,0.04%
PageView,6,0.04%
covetPicsEvent,6,0.04%
functionality,6,0.04%
dataLayer-initialized,6,0.04%
coreWebVitals,6,0.04%
